1,Q1. I am a:,"Q2. The EPTA buses (Ram Force One or Ram Express) help students travel across campus and in some cases, from Martinsburg to Shepherdstown.How often do you ride the EPTA buses?",Q3_1:To get to class,Q3_2:To get to the Rams Den for food,Q3_3:To get to group meetings,Q3_4:To go to the Wellness Center,Q3_5:Due to an injury,Q3_6:For an Accessibility reason,Q3_7:To avoid issues finding parking,Q3_8:For personal safety,Q3_9:Other - Explain:,Q3_9OT,Q4_1:Didn't know we had shuttles,Q4_2:Didn't know they were free (thought I would have to pay),Q4_3:Prefer walking,Q4_4:Don't have trouble finding parking on East Campus,Q4_5:Other - Explain:,Q4_5OT,Q5_1:To get to class,Q5_2:To get to the Rams Den for food,Q5_3:To get to group meetings,Q5_4:To go to the Wellness Center,Q5_5:Due to an injury,Q5_6:For an Accessibility reason,Q5_7:To avoid issues finding parking,Q5_8:For personal safety,Q5_9:Other - Explain:,Q5_9OT,Q6. How important is it to have a circulating bus on campus to assist students in navigating from one side of campus or from parking lots to campus buildings?,Q7_1:7:30 am - 12 pm,Q7_2:12 pm - 4 pm,Q7_3:4 pm - 7 pm,Q7_4:7 pm - 9 pm,Q7_5:Not important to me,"Q8. If budget shortfalls force a reduction of EPTA shuttle services, would you support a small fee to support these services?",Q9. Indicate your level of agreement with the following statements. - There are sufficient shuttle stops and routes to take me where I need to go on campus.,Q10. Indicate your level of agreement with the following statements. - It is difficult to find parking and the shuttle buses help alleviate parking issues.,Q11. Indicate your level of agreement with the following statements. - I know how to find/access the shuttle route schedule and information.,Q12. Indicate your level of agreement with the following statements. - The current EPTA bus services meet my satisfaction.,"Q13. Please share any additional information you would like us to consider when determining if this service should be continued, altered, or eliminated. (maximum 250 characters)",Q13_1OT,"Q14. If you are willing to participate in a focus group regarding the EPTA services, please include your Shepherd email here."
255,1,3,1,2,3,4,5,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,1,1,1,3,1,align with class times to avoid involuntary tardiness,
256,1,1,1,2,,,5,6,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,1,1,1,1,,,
257,2,3,1,2,,4,5,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,1,2,2,2,2,,,
258,2,1,1,2,3,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,,2,3,,,2,1,1,1,2,,,
259,3,1,1,2,3,,,6,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,1,1,1,1,1,Myself and a few of my friends used only that to get to and from classes due to disability. One of our friends was a wheelchair user and because of the buses he could get to the dining hall to have lunch and dinner every day. ,
260,2,2,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,1,1,1,,,
261,2,1,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,1,1,1,,,
262,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
263,2,5,,,,,,,,,9,It was there when going to dorm,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4,,,,,4,2,1,4,2,4,1,Get rid of it. It’s a waste of money. Have the people walk it will be good for them. ,
264,2,2,1,2,,,,,7,8,9,to avoid the cold,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,,2,3,,,1,2,1,1,1,,,
265,1,6,--,--,--,--,--,--,--,--,--,--,,2,,,5,I normally don't have trouble for my 1 late afternoon course 1x month,,,,,,,7,,,,1,,,,,4,1,,1,4,,1,"Not sure if already an option, but offer monthly passes at a cheaper rate than daily price; allow students to purchase ticket/pass with their financial aid/loan funds.",
266,2,1,1,2,3,,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,2,1,1,1,2,,,
267,2,3,1,2,3,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,,,,1,1,1,3,1,,,
268,2,1,1,2,3,,5,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,1,1,2,1,2,,,
269,1,1,1,,3,,5,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,2,1,3,2,,,
270,2,1,1,2,3,,,,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,,3,5,,1,1,1,1,1,,,
271,2,5,,,,,,,,,9,To get home from class,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,2,1,2,2,2,,,
272,2,2,1,2,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,,2,3,,,1,1,2,1,1,,,
273,2,1,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,,2,3,,,1,1,2,1,1,,,
274,2,1,1,2,3,4,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,1,4,1,1,1,don’t take way the bus it’s soooooo helpful ,
275,2,6,--,--,--,--,--,--,--,--,--,--,,,3,4,,,1,2,,,5,,,,,,3,1,2,,,,2,4,1,4,4,1,Na,1
276,2,2,1,2,3,4,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,1,1,1,1,,,
277,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
278,1,3,1,2,3,4,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,2,3,1,2,1,"The bus is extremely important for people who have injuries, and commuters that need to park at h-lot. I would argue that another bus",
279,1,6,--,--,--,--,--,--,--,--,--,--,1,,,4,,,,,,,,,,,9,I would not use it,4,,,,,4,2,,,,,,,
280,2,1,1,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,1,1,2,,,
281,2,1,1,2,3,,5,,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,,,3,5,,2,1,1,1,1,,,
282,2,2,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,1,1,1,1,"The service is great but if it is not continued, a parking lot for residents is needed. It is not always possible to walk especially during the colder months or for those who are injured.",
283,2,1,1,2,3,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,1,2,1,1,2,,,
284,1,2,1,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,1,1,1,1,Helps me to and from far away parking lots during the cold weather times...,1
285,1,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
286,2,2,1,2,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,,3,,,1,2,2,2,2,,,
287,2,3,1,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,,,,,2,1,1,1,1,1,"walking to class in freezing temperatures at 8am is really hard, especially when carrying stuff. sometimes the only reason i have the motivation to go to my earliest classes because i know there is a bus and i dont have the energy to walk",
288,2,1,1,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,1,1,1,1,I think it is great for students on campus since there isn’t any parking for students on campus that are residents. ,
289,1,1,1,,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,2,2,1,1,1,"If EPTA were to be discontinued, it would cause lots of problems (At least for those using H lot and taking advantage of the bus stops). If that were to happen, I believe that expanding parking on campus would compensate.",1
290,1,1,1,,,4,,,,8,9,To go home and travel to school,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,2,1,2,1,I think this service should be continued because it is a very important and helpful resource for students that live on and off campus.,
291,1,6,--,--,--,--,--,--,--,--,--,--,1,2,,,,,1,,,4,,,7,,,,1,1,,3,5,,1,2,1,4,1,1,Having a shuttle is a life line and the service should not be stopped ,
292,2,3,1,2,3,,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,,,5,,2,2,1,1,2,1,Taking EPTA services denies people with physical disabilities the transportation they need to attend classes. You are devaluing your most expensive housing options.  Where is the tuition allotted for transportation going?? ,
293,2,1,1,2,3,,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,,,5,,2,2,2,2,2,1,"If any changes must be made, I think altering the hours should be considered over total elimination. It would only increase the parking issues and decrease students’ campus involvement.",
294,1,4,1,2,3,4,5,6,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,1,1,1,1,1,"Every student is furious about reductions/cut of EPTA & feel its punitive to the students. If programs & services continue to be cut, enrollment will keep declining as SU becomes less attractive & competitive with other schools ",
295,1,6,--,--,--,--,--,--,--,--,--,--,,,,,5,not interested,1,,,,,,7,,,,3,,,,,4,2,2,3,3,2,,,
296,2,1,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,1,2,2,1,"Please keep the busses. It is crazy to expect residents to walk across campus in freezing temperatures. Even if they have a car, there is no where to park without getting ticketed. So keep the busses or make a residents lot with adequate parking.",
297,1,6,--,--,--,--,--,--,--,--,--,--,,,3,4,,,1,,,,,,7,,,,3,,,,,4,2,2,1,3,2,,,
298,2,1,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,2,1,1,1,1,1,The EPTA is a very important part of this campus and everyone agrees. ,
299,2,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
300,1,5,1,2,3,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,1,2,2,2,2,,,
301,2,6,--,--,--,--,--,--,--,--,--,--,,,3,,,,,,,,,,,,9,If it’s really cold I would maybe ,3,,,,,4,2,3,3,2,2,,,
302,2,1,1,2,,,5,6,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,1,1,2,,,
303,2,1,1,2,3,4,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,1,1,1,1,1,"The bus is a CRUCIAL part of shepherd university. Making residents pay 70 dollars for a parking pass makes the bus the only way for us to get across campus, making us pay for this as well is insane ",1
304,2,1,1,2,3,4,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,1,1,1,1,"Getting rid of the bus is a terrible idea. I as well as many of my peers need the bus, especially during the winter when it is too cold to walk to classes. ",
305,2,1,1,2,,,,6,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
306,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
307,2,1,1,2,3,4,5,6,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,2,2,1,2,1,1,"This makesstudent lives harder,worsen the parking problem,impact disabled students, impact those financially struggling, ANDPut YOUR students in unsafe situations.If you stop epta Shepherd should be required to install blue light emergency stations ",
308,1,6,--,--,--,--,--,--,--,--,--,--,,,,,5,,,,,,,,,,9,,4,,,,,4,2,4,3,1,4,,,
309,1,3,1,,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,1,1,1,,,
310,1,1,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,2,1,2,2,,,
311,1,6,--,--,--,--,--,--,--,--,--,--,,,3,4,,,,,,,,,,,9,,3,,,,,4,2,2,4,2,3,,,
312,2,4,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3,1,2,,,,2,2,2,2,2,,,
313,1,6,--,--,--,--,--,--,--,--,--,--,,,,4,,,,,,,,,,8,,,4,,,,,4,1,1,4,4,2,,,
314,1,6,--,--,--,--,--,--,--,--,--,--,,,,4,,,,,,,5,,,,,,3,,,,,4,2,2,2,2,2,,,
315,1,6,--,--,--,--,--,--,--,--,--,--,,,3,4,,,,,,,,,,,9,I wouldn’t ,4,,,,,4,2,4,4,4,4,1,"Cancel it, it’s a waste of money, the campus is small enough to walk",
316,2,1,1,2,3,4,5,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,2,2,2,1,1,All the students without cars,
317,1,6,--,--,--,--,--,--,--,--,--,--,,,3,,,,1,,,,,,,,,,3,,,,,4,2,2,2,2,2,1,n/a,
318,1,6,--,--,--,--,--,--,--,--,--,--,,,,4,,,,,,,5,,,,,,3,,2,3,,,2,2,3,2,2,1,Eliminated - it’s a 10 minute walk cross-campus with multiple route options. The thousands of dollars spent on EPTA could be better spent elsewhere!!!,
319,1,1,1,2,,4,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,,,,2,2,1,2,2,,,
320,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
321,1,6,--,--,--,--,--,--,--,--,--,--,,,,,5,"I use handicap parking. But we could really use more spots, exp by White Hall",,,,,,,,,9,N/A - Only used when ShepFest is happnenig and they use the shuttles ,1,,,,,4,2,2,2,2,2,1,"In the morning right before 9 AM if there are 2 busses they will block the handicap parking on the main strip, in front of Snyder across from Stutzman-Slon. It would be cool if they maybe didn't do that. ",
322,3,6,--,--,--,--,--,--,--,--,--,--,,,,,5,I drive to school,1,,,,,,7,,,,1,,,,,4,2,,,,,,,
323,2,1,1,,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,1,1,1,,,
324,2,3,1,2,,,5,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,1,3,1,,,
325,1,6,--,--,--,--,--,--,--,--,--,--,,,,4,,,,,,,,,7,,,,3,,2,,,,1,1,2,3,2,,,
326,2,1,1,,,,5,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,2,1,1,2,1,"The EPTA is crucial for when the weather is bad, or cold. ",1
327,1,5,,,,,,,,,9,Only if there is no parking available,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
328,2,1,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,,,,1,1,1,1,1,,,
329,1,1,1,2,3,,,6,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,2,1,2,2,,,
330,2,2,1,2,3,4,5,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,1,1,1,1,1,Please keep the EPTA or some other form of campus transportation.,
331,2,1,1,2,3,4,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,,2,,,,2,2,1,1,2,,,
332,1,1,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,2,3,2,3,3,,,
333,1,5,,2,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,2,1,2,1,1,,,
334,1,5,1,,,,5,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,1,2,1,1,I believe the length of time the routes run into the evening/night could be reduced. Additionally the number of stops could also be reduced to help align bus schedules with classes for taking students from west to east campus.,1
335,2,5,1,2,3,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,1,1,1,1,,,
336,1,6,--,--,--,--,--,--,--,--,--,--,,,3,4,,,,,,4,,,,,,,3,,,,,4,2,2,3,2,2,1,The bus system is useful for disabled students,
337,1,6,--,--,--,--,--,--,--,--,--,--,,,,4,,,1,,,,,,7,,,,2,1,2,,,,2,2,2,2,2,1,"With friends who live on campus, and friends who have trouble searching for parking, the EPTA service as an option in important.",
338,2,1,1,2,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,2,1,1,1,,,
339,2,2,1,2,3,,,6,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,2,2,1,,,
340,2,1,1,2,,4,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,2,1,1,2,,,
341,2,1,1,2,,4,5,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,,2,,5,,1,1,1,1,1,,,
342,2,4,1,2,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,,2,3,5,,2,1,1,1,1,1,This is great keep it going ,1
343,2,1,1,2,,,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,,,,2,1,1,2,1,,,
344,1,5,,,,4,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,1,2,1,,,
345,2,1,1,2,3,4,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,1,1,1,,,
346,1,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
347,1,6,--,--,--,--,--,--,--,--,--,--,,2,,,5,I believe EPTA doesn't provide rides from my location which is Ranson.,,,,4,,,7,,,,2,1,,3,,,2,1,1,4,2,1,Altered if cuts need to be made. I would try to see what times are the busiest during the day and try to provide rides during those times and deduct the other time slots. ,
348,1,5,1,,3,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,,2,3,,,2,2,1,1,1,1,This service allows students to get across campus quickly and alleviates parking responsibilities.,
349,2,1,1,2,3,4,5,6,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,,,5,,2,1,2,1,1,,,
350,1,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
351,2,2,1,2,,4,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
352,1,6,--,--,--,--,--,--,--,--,--,--,1,,3,,,,1,,,4,,,7,,,,1,1,,,,,2,3,1,3,2,,,
353,1,6,--,--,--,--,--,--,--,--,--,--,,,,4,5,don’t have any classes far enough for a bus,,,,4,5,6,7,,,,1,,,,,4,1,1,2,1,1,,,
354,2,1,1,2,3,4,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,,2,,,,2,1,1,1,1,,,
355,1,5,1,,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,,2,3,,,2,3,4,1,2,1,how are residents expected to get across campus without this service- walking in extreme temperatures? this is especially prevalent when considering the lack of resident parking near the student center and surrounding academic buildings. ,
356,2,1,1,2,3,4,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,2,1,1,1,1,,,1
357,1,2,1,,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,2,2,1,1,1,,,
358,2,1,1,2,,,5,6,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,1,1,1,1,2,,,
359,1,6,--,--,--,--,--,--,--,--,--,--,,,3,4,,,1,,,,,,,,,,4,,,,,4,2,3,3,3,2,,,
360,1,1,1,2,,,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,2,1,3,2,,,
361,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
362,2,1,1,2,3,4,,6,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,5,,1,1,1,1,1,1,I live in the apartments and the EPTA is the only reason why i make it to class on time. And the only reason I've gone to class during the cold weather. Not everyone can easily afford a car (I cannot). ,
363,2,1,1,2,,,,6,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,1,1,2,1,,,
364,2,2,1,2,3,,5,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,,2,3,,,2,1,1,1,1,1,Keep the bus it’s very necessary because campus gets very cold for 4 months out of the year and maybe instead of spending money on the athletics new locker rooms spend something on the bus,
365,1,1,1,2,3,4,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,,3,,,1,1,1,1,1,1,"This service is essential for Shepherd students, please don’t get rid of it",
366,1,1,1,2,3,4,,,7,,9,get across campus quickly,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,2,1,1,1,1,,,
367,1,6,--,--,--,--,--,--,--,--,--,--,,,,4,,,1,,,,,6,,8,,,1,1,2,,5,,2,2,1,4,1,1,I drive but I do know a few students that have mentioned the time of the bus coming and going from Martinsburg. ,
368,2,2,1,2,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,,,,1,2,2,2,2,,,
369,1,3,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,2,1,1,,,
370,2,3,1,2,3,4,5,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,2,1,1,,1,,,
371,1,5,1,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
372,1,5,1,,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,2,2,1,,,
373,2,1,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,2,1,1,1,1,They r important ,1
374,1,6,--,--,--,--,--,--,--,--,--,--,,,,,5,"don't know the stop times, have a car",1,,,,,,7,,,,1,1,,,,,2,1,1,3,2,1,we need more parking,
375,2,1,1,2,3,,,6,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,1,1,1,2,,,
376,2,2,1,2,,,,6,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,2,1,1,,,
377,2,3,1,2,,,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,2,2,1,1,,,
378,2,1,1,2,3,4,5,6,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,1,1,1,1,1,The shuttle service should not be eliminated under any circumstance. It is vital for students to access their classes and get where they need to be in a timely manner on campus.,
379,1,1,1,,,,5,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,2,1,1,1,3,1,Franks art center the Ram Force bus drove right pass & didn’t stop causing me to walk across campus when I have a bad back injury As I saw the bus come up it did not go into the half circle briefly stopped took off as I walked towards her.,
380,1,5,1,,,4,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,,,,,4,2,2,2,1,1,,,
381,1,3,1,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,1,1,1,,,
382,1,1,1,2,3,4,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,1,2,1,1,1,,,
383,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
384,1,6,--,--,--,--,--,--,--,--,--,--,,,,,5,their schedule & mine have never coincided,,,,,,6,7,,,,3,1,2,,,,2,3,2,3,3,1,Students pay plenty in 'small fees' as it is. These things add up.,
385,2,1,1,2,3,4,,,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,1,2,2,1,1,1,This is not the thing to cut because of budget concerns figure something else out,1
386,1,6,--,--,--,--,--,--,--,--,--,--,,,,4,,,,,,,,,7,,,,3,,,,,4,2,1,3,2,1,,,
387,2,1,1,2,,,5,6,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,,,,1,1,1,3,1,,,
388,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
389,1,6,--,--,--,--,--,--,--,--,--,--,,2,3,4,,,1,2,3,4,5,,7,,,,1,1,,,,,2,2,1,2,1,1,I don't know,1
390,2,4,1,2,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,,2,,,,2,1,1,1,1,,,
391,2,5,1,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,,,,,2,2,1,2,2,,,
392,2,1,1,2,3,4,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,2,1,1,1,1,,,
393,2,6,--,--,--,--,--,--,--,--,--,--,,,3,4,,,1,,,,5,,,,,,3,,,,,4,2,2,3,2,2,,,
394,1,5,,,,,,,7,,9,Weather when I park on west campus,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,3,,,1,2,3,2,2,,,
395,1,1,1,2,,4,,6,7,,9,I have POTS and this bus system helps me significantly and lowers my stress when it comes to parking,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,,2,3,,,2,1,1,1,2,1,"The bus system is crucial to my day to day life on shepherds campus. I however do not have the funds to support the buses, as I already in my tuition get charged to support the athletes and other charges that don’t pertain to my education.  ",
396,2,4,1,2,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,2,1,1,1,1,1,The lady that does the ram force one bus during the day is so nice!,1
397,1,1,1,,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,1,1,1,,,
398,1,5,,,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,,,,,4,1,2,2,3,2,1,I would be happy to pay a fee to keep the EPTA continued. It is crucial that students have a consistent means of transportation. ,
399,2,5,1,2,3,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,1,3,2,1,3,1,"I believe we need to keep EPTA, but the schedule of it is inconvenient. I never take the bus because it doesn't line up with my schedule. If anything, we should add another bus with a different schedule                        ",
400,2,1,1,2,3,,,6,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,2,1,1,1,1,,,
401,2,1,1,2,,,,,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,2,1,1,1,1,1,none,
